company_name,website,full_address,director_or_founder,founded_year,email,phone,source_page,scrape_status
upGrad,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Physics Wallah,,"Noida, India",Alakh Pandey,2014,,,https://www.pw.live,ok
Acko,https://www.acko.com/,,,,,,https://www.acko.com/,partial
Apna,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
CoinDCX,,,"Sumit Gupta, Neeraj Khandelwal",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Purplle,,,"Manish Taneja, Rahul Dash",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
GlobalBees,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Drools,,,,,,,https://www.wikidata.org/wiki/Q634004,partial
Rivigo,,,"Deepak Garg, Gazal Kalra",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Krutrim,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Blackbuck,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Fractal,https://fractal.ai/,,,,investorrelations@fractal.ai,+912268505800,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Glance,http://www.glance.com,,,,,,https://www.wikidata.org/wiki/Q105334142,partial
Blinkit,,"Gurgaon, India",,2014,,,https://www.wikidata.org/wiki/Q19891628,ok
HighRadius,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
InMobi,https://www.inmobi.com,"Bengaluru, San Francisco, India",Naveen Tewari,2007,,,https://www.inmobi.com,ok
Licious,,,"Abhay Hanjura, Vivek Gupta",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Mensa Brands,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
MobiKwik,http://mobikwik.com/,"Gurgaon, India",,2009,,,https://www.wikidata.org/wiki/Q18390821,ok
Moglix,https://www.moglix.com/,,Rahul Garg,2015,care@moglix.com,+919999049135,https://www.moglix.com/,ok
NoBroker,http://www.nobroker.in/,,"Akhil Gupta, Amit Agarwal",2014,assist@nobroker.in,+919108050400,http://www.nobroker.in/,ok
Slice,https://sliceit.com,"Bengaluru, India",,2016,,08048329999,https://sliceit.com,ok
Snapdeal,http://www.snapdeal.com/,"New Delhi, India","Kunal Bahl, Rohit Bansal",2010,mediarelations@snapdeal.com,,http://www.snapdeal.com/about,ok
Vedantu,http://www.vedantu.com,"Bengaluru, India",,2014,vcare@vedantu.com,1800120456456,http://www.vedantu.com,ok
VerSe Innovation,,,Virendra Gupta,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Zenoti,,,,,,,https://www.wikidata.org/wiki/Q55476816,partial
